,sea,Practice,Low,1,2014-06-12,14:41:28:760,radio,NA,short,low,start,Classic Rock,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:41:29:821,radio,NA,short,low,next_task,Classic Rock,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:41:36:700,radio,NA,short,low,command_correct,Classic Rock,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:41:45:095,radio,NA,short,low,confirm_correct,Classic Rock,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:41:45:167,radio,NA,short,low,next_task,ESPN Xtreme,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:41:53:181,radio,NA,short,low,command_repeat,ESPN Xtreme,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:00:399,radio,NA,short,low,command_incorrect,ESPN Xtreme,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:07:654,radio,NA,short,low,next_task,Radio Disney,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:07:617,radio,NA,short,low,command_incorrect,ESPN Xtreme,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:08:119,radio,NA,short,low,fail_command_repeat,Radio Disney,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:15:063,radio,NA,short,low,command_correct,Radio Disney,NA,NA,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:24:269,calendar,1,short,low,start,NA,NA,Becky Wal-Mart Friday 6:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:25:309,calendar,1,short,low,next_task,NA,NA,Becky Wal-Mart Friday 6:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:37:825,calendar,1,short,low,command_incorrect,NA,NA,Becky Wal-Mart Friday 6:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:42:52:497,calendar,1,short,low,command_correct,NA,NA,Becky Wal-Mart Friday 6:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:00:904,calendar,1,short,low,confirm_correct,NA,NA,Becky Wal-Mart Friday 6:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:01:109,calendar,1,short,low,next_task,NA,NA,Rob The Meat House Wednesday 1:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:14:040,calendar,1,short,low,command_correct,NA,NA,Rob The Meat House Wednesday 1:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:22:292,calendar,1,short,low,confirm_correct,NA,NA,Rob The Meat House Wednesday 1:00 PM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:22:335,calendar,1,short,low,next_task,NA,NA,Phil Lowes Thursday 10:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:36:329,calendar,1,short,low,command_incorrect,NA,NA,Phil Lowes Thursday 10:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:43:49:729,calendar,1,short,low,command_incorrect,NA,NA,Phil Lowes Thursday 10:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:44:04:008,calendar,1,short,low,command_incorrect,NA,NA,Phil Lowes Thursday 10:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:44:04:083,calendar,1,short,low,next_task,NA,NA,Sarah Guitar Center Tuesday 9:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:44:04:512,calendar,1,short,low,fail_command_repeat,NA,NA,Sarah Guitar Center Tuesday 9:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:44:18:013,calendar,1,short,low,command_incorrect,NA,NA,Sarah Guitar Center Tuesday 9:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:44:31:251,calendar,1,short,low,command_correct,NA,NA,Sarah Guitar Center Tuesday 9:00 AM,NA,0,
,sea,Practice,Low,1,2014-06-12,14:44:41:329,nav,1,short,low,start,NA,8915 Harvard Ave,NA,NA,0,
