,sea,,,,2014-06-08,14:07:29:971,radio,1,short,low,start,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:07:31:046,radio,1,short,low,next_task,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:07:42:122,radio,1,short,low,command_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:08:02:344,radio,1,short,low,confirm_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:08:02:417,radio,1,short,low,next_task,NPR News,NA,NA,NA,0,
,sea,,,,2014-06-08,14:08:09:247,radio,1,short,low,command_correct,NPR News,NA,NA,NA,0,
,sea,,,,2014-06-08,14:08:16:955,radio,1,short,low,confirm_incorrect,NPR News,NA,NA,NA,0,
,sea,,,,2014-06-08,14:08:48:575,radio,1,short,high,start,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:08:49:622,radio,1,short,high,next_task,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:09:08:511,radio,1,short,high,command_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:09:41:231,radio,1,short,low,start,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:09:42:297,radio,1,short,low,next_task,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:09:50:728,radio,1,short,low,command_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:10:24:406,radio,1,short,low,next_task,NPR News,NA,NA,NA,0,
,sea,,,,2014-06-08,14:10:35:670,nav,1,short,low,start,NA,8915 Harvard Ave,NA,NA,0,
,sea,,,,2014-06-08,14:10:36:708,nav,1,short,low,next_task,NA,8915 Harvard Ave,NA,NA,0,
,sea,,,,2014-06-08,14:11:20:907,nav,1,short,low,command_correct,NA,8915 Harvard Ave,NA,NA,0,
,sea,,,,2014-06-08,14:18:33:764,radio,1,short,high,start,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:18:34:856,radio,1,short,high,next_task,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:18:41:549,radio,1,short,high,command_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:18:51:955,radio,1,short,high,confirm_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:18:52:457,radio,1,short,high,catch_sys_error,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:18:58:326,radio,1,short,high,command_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:19:05:156,radio,1,short,high,confirm_correct,Country Hits,NA,NA,NA,0,
,sea,,,,2014-06-08,14:19:05:250,radio,1,short,high,next_task,NPR News,NA,NA,NA,0,
